objective,metric,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,verbosity,seed,feature_fraction_seed,bagging_seed,mean_rmse,std_rmse,mean_best_iteration,fold_1_rmse,fold_2_rmse,fold_3_rmse
regression,rmse,0.03,127,100,0.9,0.8,1,0.1,1.0,-1,42,42,42,5025.8756522869235,2252.0877249162504,258,8168.962907864136,3899.978250723516,3008.6857982731194
regression,rmse,0.08,127,100,0.7,0.7,1,1.0,1.0,-1,42,42,42,5031.838140713769,2257.9260259641524,134,8182.1440745223335,3908.3756659025953,3004.9946817163773
regression,rmse,0.02,63,200,0.7,0.7,1,1.0,1.0,-1,42,42,42,5051.142641883946,2246.903998085111,678,8187.543359487493,3924.6540317127165,3041.2305344516294
regression,rmse,0.08,127,100,0.8,0.8,1,5.0,0.0,-1,42,42,42,5063.8433958186715,2262.2192609382305,93,8219.935709744608,3939.410462123152,3032.184015588252
regression,rmse,0.02,63,200,0.8,1.0,1,0.0,1.0,-1,42,42,42,5097.60218530132,2244.7549784106145,480,8224.94566353929,4006.349165636468,3061.5117267282026
regression,rmse,0.03,63,100,0.8,0.9,1,0.0,10.0,-1,42,42,42,5102.923081365038,2222.5639238652407,274,8192.089832395852,4060.8058059451287,3055.8736057541337
regression,rmse,0.05,63,50,0.7,0.7,1,0.1,1.0,-1,42,42,42,5118.780016554516,2226.844753487617,114,8205.08394042813,4118.12450743075,3033.1316018046664
regression,rmse,0.03,63,20,0.8,0.7,1,1.0,5.0,-1,42,42,42,5121.5123467863405,2231.8770978329685,196,8219.158136377819,4097.43319079709,3047.945713184114
regression,rmse,0.02,31,20,1.0,0.9,1,5.0,1.0,-1,42,42,42,5140.85253440584,2270.500584550225,318,8307.023834325315,4020.6694998405715,3094.8642690516344
regression,rmse,0.08,31,100,0.8,0.8,1,1.0,10.0,-1,42,42,42,5153.488472928201,2251.6313658365293,75,8281.835026540426,4103.952536202656,3074.677856041523
regression,rmse,0.03,31,50,1.0,1.0,1,1.0,10.0,-1,42,42,42,5155.551576781424,2303.2556201931006,187,8369.100664576932,4009.544190104268,3088.0098756630728
regression,rmse,0.02,15,200,0.7,0.9,1,1.0,10.0,-1,42,42,42,5165.014793533353,2210.959789480334,633,8226.291336614237,4185.696965233913,3083.056078751912
regression,rmse,0.03,15,100,0.8,0.8,1,1.0,0.1,-1,42,42,42,5167.834883528741,2253.627475881331,210,8294.06476040141,4141.628007783227,3067.811882401585
regression,rmse,0.05,15,50,0.9,0.8,1,5.0,5.0,-1,42,42,42,5171.8441430362745,2236.9064802036846,170,8278.442112539247,4135.664770827052,3101.4255457425247
regression,rmse,0.02,15,100,0.8,0.8,1,0.1,0.0,-1,42,42,42,5177.2658770341595,2247.1211862700193,363,8294.08208555536,4155.9080315017545,3081.8075140453657
regression,rmse,0.02,31,200,0.8,1.0,1,1.0,0.0,-1,42,42,42,5177.830251021281,2253.421203842237,350,8304.947456952685,4145.980372983544,3082.562923127614
regression,rmse,0.03,15,50,0.7,0.7,1,5.0,0.0,-1,42,42,42,5179.170463996222,2218.8282800790353,236,8254.8705053696,4179.697956156774,3102.942930462289
regression,rmse,0.02,15,50,0.8,1.0,1,0.0,5.0,-1,42,42,42,5183.410193593092,2220.747588312051,334,8264.027556980383,4172.183047948697,3114.019975850195
regression,rmse,0.05,15,200,0.7,1.0,1,0.0,10.0,-1,42,42,42,5184.827252069079,2263.4778613059143,109,8321.596590386624,4169.169126126912,3063.716039693702
regression,rmse,0.02,127,20,0.7,0.7,1,0.1,0.1,-1,42,42,42,5195.849452331845,2277.965898917492,247,8347.344236898147,4198.680855101719,3041.5232649956683
